"","Culinary Knowledge","Culinary Skills","Algeria","Argentina","Australia","Belgium","Herzegovina","Brazil","Cameroon","Chile","Colombia","Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Coast","Japan","Mexico","Netherlands","Nigeria","Portugal","Russia","Korea","Spain","Switzerland","States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Household.Income","Education","Census Location"
"1","Intermediate","Moderate",NA,"3","5","4",NA,"3",NA,"4",NA,"4",NA,NA,"4","3","5",NA,NA,NA,NA,"5","3","1","5",NA,NA,"1","3",NA,NA,NA,"5","2","4","5","4",NA,NA,"3",NA,"4","Male","18-29","$100,000 - $149,999","Less than high school degree","West South Central"
"2","Novice","Moderate",NA,NA,"3","3",NA,"3",NA,NA,NA,NA,NA,NA,"4","4","4",NA,"4",NA,NA,"5",NA,"3","5",NA,NA,NA,NA,NA,"3",NA,"4",NA,"2","2","4",NA,NA,NA,NA,"4","Male","18-29","$100,000 - $149,999","Some college or Associate degree","West South Central"
"3","Intermediate","High","3","4",NA,"3",NA,"4","5","5","4","5","3","3","3","4","2","4","4","3","4","5",NA,"3","4","2",NA,"3","2","4","4","2","3",NA,"3","5","5",NA,"4","5","4","3","Male","30-44","$50,000 - $99,999","Graduate degree","Pacific"
"4","Novice","Low",NA,"3",NA,"3",NA,NA,"3","3","2","4",NA,NA,"3","3","3",NA,"4",NA,"3","3",NA,"3","4","3",NA,"4","3","3","3","3","3",NA,"4","3","2","3","4",NA,"4","3","Male","45-60","$0 - $24,999","Less than high school degree","New England"
"5","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","3",NA,NA,NA,NA,"4",NA,"2","4",NA,NA,NA,NA,NA,"3",NA,"3",NA,"3","3","3",NA,"3",NA,"3",NA,"Male","30-44","$25,000 - $49,999","High school degree","Pacific"
"6","Advanced","High",NA,"4","3","5","3","5",NA,"4","4","4","3","4","5","5","5",NA,"5",NA,"4","5",NA,"5","5","4",NA,"4","5","4","5",NA,"2","3","3","5","5","5","5",NA,NA,"3","Female","30-44","$50,000 - $99,999","Graduate degree","East North Central"
"7","Novice","Moderate",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3","3",NA,NA,NA,NA,NA,"3",NA,"4",NA,"3","2",NA,NA,NA,NA,"3",NA,"Male","45-60","","High school degree","West South Central"
"8","Advanced","High",NA,"5","4","3",NA,"4",NA,"4","4","4",NA,"3","3","5","5",NA,"4","3",NA,"5",NA,"4","4","4",NA,"4","3","3","5","5","5","3","4","4","3","3","5",NA,"3","4","Male","45-60","$0 - $24,999","Some college or Associate degree","South Atlantic"
"9","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"3",NA,"4",NA,"4",NA,NA,"4",NA,"3","4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3","4","3",NA,"4",NA,"4","4","Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"11","Advanced","High",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"2","5","2",NA,"4",NA,NA,"5",NA,"5","4",NA,NA,NA,"2","3","3",NA,"5",NA,"4","4","4",NA,"3","3","3","3","Male","30-44","$50,000 - $99,999","Bachelor degree","Mountain"
"12","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4",NA,NA,NA,NA,NA,"3",NA,"3","3",NA,NA,NA,NA,"2","3",NA,"4",NA,"3","2","3","2",NA,NA,"3","3","Male","> 60","$0 - $24,999","Some college or Associate degree","South Atlantic"
"13","Intermediate","High","3","3","2","4","4","5","4","4","4","3","2","5","5","4","4","3","5","3","4","4",NA,"5","4","4",NA,NA,"1","3","4","3","3","3","4","5","5","5",NA,"3",NA,NA,"Male","18-29","$25,000 - $49,999","High school degree","Middle Atlantic"
"14","Intermediate","Moderate",NA,NA,NA,"5",NA,"3",NA,NA,NA,NA,NA,NA,"2","5","2",NA,"2",NA,NA,"5",NA,"4","3",NA,NA,"3",NA,"3","5","2","3",NA,"4","1","4",NA,NA,NA,"3","2","Female","30-44","","Bachelor degree","Middle Atlantic"
"15","Intermediate","Moderate",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3","4","3",NA,"4",NA,NA,"4",NA,"4","4",NA,NA,NA,"2","3","3","3","3",NA,"3","4","4",NA,"4","4","4","3","Female","30-44","$50,000 - $99,999","Graduate degree","Pacific"
"16","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4",NA,"4","5",NA,NA,"2",NA,NA,NA,NA,"3",NA,NA,"3","5",NA,NA,NA,"3",NA,"Female","30-44","$25,000 - $49,999","Some college or Associate degree","Pacific"
"17","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"3",NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific"
"19","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3",NA,NA,"5",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","> 60","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"20","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","4",NA,"2",NA,NA,NA,NA,"3",NA,NA,NA,NA,"4","4",NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","45-60","","Some college or Associate degree","Mountain"
"21","Intermediate","High","4","3","3",NA,NA,"3",NA,NA,"1","4","3",NA,"4","3","4",NA,"4","4",NA,"4",NA,"5","5",NA,NA,NA,"5",NA,"4","3","4",NA,"5","4","4","4",NA,NA,NA,NA,"Male","18-29","$0 - $24,999","Bachelor degree","East North Central"
